Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Stand-by,Talk time,Colors,,_1,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,_1_1,Price,4G bands,Quad,Charging,Models,64GB 4GB RAM,128GB 4GB RAM,Build,Features_1,4GB 512MB RAM,5G bands,Protection,Dual,SAR,SAR EU,128MB 64MB RAM,Triple,32GB 3GB RAM,64GB 3GB RAM,32GB 2GB RAM,16GB 2GB RAM,128GB 8GB RAM,64GB 6GB RAM,64GB 8GB RAM,16GB 1GB RAM,16MB 8MB RAM,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,128GB 6GB RAM,4GB 512MB,Five,8GB 1GB RAM,Music play,Stand-by_1,Talk time_1,16GB 3GB RAM,Browser,Infrared port,Alert types,Languages,Clock,Alarm,256GB 12GB RAM,256GB 8GB RAM,512GB 12GB RAM,256GB 6GB RAM,Dual_1
b'oppo',b'Oppo A15',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a15.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 15'","b'Available. Released 2020, October 27'",b'164 x 75.4 x 7.9 mm (6.46 x 2.97 x 0.31 in)',b'175 g (6.17 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (typ)'","b'6.52 inches, 102.6 cm2 (~83.0% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'microSDXC',"b'32GB 2GB RAM, 32GB 3GB RAM'","b'5 MP, f/2.4, (wide)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, BDS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4230 mAh, non-removable'",,,"b'Dynamic Black, Mystery Blue'",b'eMMC 5.1',,,,,,,,,,,"b'\xc2\xa3\xe2\x80\x89103.46 / \xe2\x82\xb9\xe2\x80\x898,900'","b'1, 3, 5, 8, 38, 40, 41'",,b'Charging 10W',b'CPH2185',,,"b'Glass front, plastic back, plastic frame'",b'HDR',,,,,,,,"b'13 MP, f/2.2, (wide), 1/3.1"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",b'\xc2\xa3\xe2\x80\x89103.46',,b'\xc2\xa3\xe2\x80\x89121.75',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A53s',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a53-2020.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',"b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - Version 1, Version 3'","b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 12'","b'Available. Released 2020, October 17'",b'163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.5 inches, 102.0 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'","b'Android 10, ColorOS 7.2'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM'","b'8 MP, f/2.0, (wide)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,,"b'Electric Black, Fancy Blue'",b'HSDPA 850 / 900 / 2100 - Version 2',"b'1, 3, 5, 8, 38, 40, 41 - Version 2'",,,,,,,,,b'UFS 2.1 (single lane)',b'\xe2\x82\xac\xe2\x80\x89170.00 / \xc2\xa3\xe2\x80\x89177.28',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 20, 26, 28, 38, 39, 40, 41, 66 - Version 1'",,b'Fast charging 18W',"b'CPH2139, CPH2135'",,b'\xe2\x82\xac\xe2\x80\x89170.00',,b'HDR',,,b'Corning Gorilla Glass 3',,b'0.77 W/kg (head) \xc2\xa0 \xc2\xa0 0.97 W/kg (body)',,,"b'13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A73',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a73.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 05'","b'Available. Released 2020, November 20'",b'159.8 x 72.9 x 7.5 mm (6.29 x 2.87 x 0.30 in)',b'163 g (5.75 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 430 nits (typ), 600 nits (peak)'","b'6.44 inches, 100.1 cm2 (~86.0% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.3 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'128GB 4GB RAM, 128GB 6GB RAM'","b'16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'","b'LED flash, HDR, panorama'","b'1080p@30fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'Yes (market/region dependent)',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4015 mAh, non-removable'",,,"b'Navy Blue, Classic Silver'",b'UFS 2.1 (single lane)',,,,,,,,,,,,"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41'","b'16 MP, f/2.2, (wide), 1/3.06"", PDAF 8 MP, f/2.2, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0'",,,,,b'HDR',,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A93',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a93-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 01'","b'Available. Released 2020, October 01'",b'160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ), 800 nits (peak)'","b'6.43 inches, 99.8 cm2 (~84.5% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6779V Helio P95 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,,"b'Matte Black, Metallic White'",b'UFS 2.1',,,,,,,,,,,b'About 280 EUR',"b'1, 3, 5, 7, 8, 38, 40, 41'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'",b'Fast charging 18W',b'CPH2121',,,"b'Glass front, plastic back'",b'HDR',,,,"b'16 MP, f/2.4, (wide), 1/3.09"", 1.0\xc2\xb5m 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno4 Z 5G',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a92s.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A, 5G 3.5 Gbps DL'","b'2020, September 29'","b'Available. Released 2020, October 15'",b'163.8 x 75.5 x 8.1 mm (6.45 x 2.97 x 0.32 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD, 120Hz, 480 nits (typ)'","b'6.57 inches, 104.2 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~401 ppi density)'","b'Android 10, ColorOS 7.2'",b'MediaTek MT6873V Dimensity 800 5G (7 nm)',b'Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)',b'Mali-G57 MC4',b'No',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'Yes',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",,,"b'Ink Black, Dew White'",b'UFS 2.1',b'24-bit/192kHz audio',,,,,,,,,,b'$\xe2\x80\x89429.00 / \xe2\x82\xac\xe2\x80\x89272.00 / \xc2\xa3\xe2\x80\x89259.00',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'",b'Fast charging 18W',b'CPH2065',,,,b'HDR',,"b'1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA'",b'Corning Gorilla Glass 3+',"b'16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m 2 MP, f/2.4, (depth)'",,,,,,,,,b'$\xe2\x80\x89429.00',,,,,b'AnTuTu: 295562 (v8) GeekBench: 2196 (v5.1) GFXBench: 16fps (ES 3.1 onscreen)',b'Contrast ratio: 1284:1 (nominal)',b'Photo / Video',b'-28.1 LUFS (Average)',,b'Endurance rating 78h',,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno4 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 28'","b'Available. Released 2020, September 28'",b'160.1 x 73.7 x 7.4 mm (6.30 x 2.90 x 0.29 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 430 nits (typ)'","b'6.43 inches, 99.8 cm2 (~84.6% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6779V Helio P95 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'Yes',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4015 mAh, non-removable'",,,"b'Magic Blue, Matte Black'",b'UFS 2.1',,,,,,,,,,,b'About 370 EUR',"b'1, 3, 5, 8, 38, 40, 41'","b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0'",b'CPH2125',,,"b'Glass front (Gorilla Glass 3), plastic back'",b'HDR',,,b'Corning Gorilla Glass 3',"b'16 MP, f/2.4, (wide), 1/3"", 1.0\xc2\xb5m 2 MP, f/2.4, (depth)'",b'1.44 W/kg (head) \xc2\xa0 \xc2\xa0 1.41 W/kg (body)',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo A33 (2020)',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-a32.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 28'","b'Available. Released 2020, October 01'",b'163.9 x 75.1 x 8.4 mm (6.45 x 2.96 x 0.33 in)',b'186 g (6.56 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz'","b'6.5 inches, 102.8 cm2 (~83.5% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'","b'Android 10, ColorOS 7.2'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'32GB 3GB RAM, 32GB 4GB RAM'","b'8 MP, f/2.0, (wide)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,,"b'Moonlight Black, Mint Cream'",b'UFS 2.1 gear 3 (one-lane)',,,,,,,,,,,b'About 130 EUR',"b'1, 3, 5, 7, 8, 38, 40, 41'",,b'Fast charging 18W',b'CPH2137',,,,b'HDR',,,b'Corning Gorilla Glass 3',,,,,"b'13 MP, f/2.2, 25mm (wide), 1/3.06"", 1.12\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo Reno4 SE',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-reno4-se-.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, September 21'","b'Available. Released 2020, September 24'",b'160.5 x 73.9 x 7.9 mm (6.32 x 2.91 x 0.31 in)',b'169 g (5.96 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 430 nits (typ)'","b'6.43 inches, 99.8 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'MediaTek MT6853V Dimensity 720 5G (7 nm)',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G57 MC3',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'","b'32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8\xc2\xb5m'","b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",,"b'1080p@30fps, gyro-EIS'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4300 mAh, non-removable'",,,"b'Black, White, Blue'",b'CDMA 800 & TD-SCDMA',b'UFS 2.0',,,,,,,,,b'24-bit/192kHz audio',b'About 320 EUR',"b'1, 2, 3, 4, 5, 6, 7, 8, 19, 34, 38, 39, 40, 41'",,b'Fast charging 65W Reverse charging SuperVOOC 2.0',"b'PEAT00, PEAM00'",,,"b'Glass front, plastic back, plastic frame'",b'HDR',,"b'1, 3, 41, 77, 78, 79 SA/NSA'",,,,,,"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo F17 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-f17-pro---.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 02'","b'Available. Released 2020, September 07'",b'160.1 x 73.8 x 7.5 mm (6.30 x 2.91 x 0.30 in)',b'164 g (5.78 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'Super AMOLED, 430 nits (typ), 800 nits (peak)'","b'6.43 inches, 100.3 cm2 (~84.9% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~408 ppi density)'","b'Android 10, ColorOS 7.2'",b'Mediatek MT6779V Helio P95 (12 nm)',b'Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)',b'PowerVR GM9446',b'microSDXC (dedicated slot)',b'128GB 8GB RAM',,"b'LED flash, HDR, panorama'","b'4K@30fps, 1080p@30/120fps, gyro-EIS'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4015 mAh, non-removable'",,,"b'Magic Blue, Matte Black, Metallic White'",b'UFS 2.1',,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8921,490'","b'1, 3, 5, 8, 38, 40, 41'","b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.2, 119\xcb\x9a, 16mm (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0'",b'CPH2119',,,"b'Glass front (Gorilla Glass 3), plastic back'",b'HDR',,,b'Corning Gorilla Glass 3',"b'16 MP, f/2.4, (wide), 1/3.09"", 1.0\xc2\xb5m 2 MP, f/2.4, (depth)'",b'1.44 W/kg (head) \xc2\xa0 \xc2\xa0 1.41 W/kg (body)',,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8921,490'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'oppo',b'Oppo F17',b'https://fdn2.gsmarena.com/vv/bigpic/oppo-f17.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, September 02'","b'Available. Released 2020, September 24'",b'159.8 x 72.8 x 7.5 mm (6.29 x 2.87 x 0.30 in)',b'163 g (5.75 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Super AMOLED',"b'6.44 inches, 100.1 cm2 (~86.1% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~409 ppi density)'","b'Android 10, ColorOS 7.2'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',b'microSDXC (dedicated slot)',"b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM'","b'16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0\xc2\xb5m'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4015 mAh, non-removable'",,,"b'Dynamic Orange, Navy Blue, Classic Silver'",,,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8916,990'","b'1, 3, 5, 8, 38, 40, 41'","b'16 MP, f/2.2, (wide), 1/3.06"", PDAF 8 MP, f/2.2, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)'","b'Fast charging 30W, 50% in 30 min, 100% in 53 min (advertised) VOOC 4.0'",b'CPH2095',,,,b'HDR',,,,,b'1.16 W/kg (head) \xc2\xa0 \xc2\xa0 0.81 W/kg (body)',,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8917,990'",,,,,,,,,,,"b'\xe2\x82\xb9\xe2\x80\x8916,990'",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
